file_path,file_type,task,method_name,input_modalities,missing_setting,split_protocol,metric_name,metric_value,metric_direction,baseline_reference,improvement_or_drop,is_ours,is_xfi_or_ori_baseline,is_superteacher_exploration,recommended_usage,reason,source_confidence
E:\Deskbook\Tea\tables\reliability_corruption_from_logs.csv,csv,reliability,reliability_corruption_from_logs,,,,macro_f1,0.856043,higher_better,,,yes,no,no,figure,Supports mechanism visualization or diagnostic analysis.,high
E:\Deskbook\Tea\tables\reliability_corruption_from_logs.csv,csv,reliability,reliability_corruption_from_logs,,,,macro_f1,0.2835,higher_better,,,yes,no,no,figure,Supports mechanism visualization or diagnostic analysis.,high
E:\Deskbook\Tea\tables\reliability_performance_correlation.csv,csv,reliability,reliability_performance_correlation,,,,,,,,,yes,no,no,figure,CSV parsed but no recognized metric column was found.,high
E:\Deskbook\Tea\tables\reliability_weight_by_subset.csv,csv,reliability,reliability_weight_by_subset,,,,,,,,,yes,no,no,figure,CSV parsed but no recognized metric column was found.,high
E:\Deskbook\Tea\tables\rgb_subset_convergence_audit.csv,csv,unknown,rgb_subset_convergence_audit,,,,,,,,,no,no,no,discard,CSV parsed but no recognized metric column was found.,high
E:\Deskbook\Tea\tables\subset_best_worst_patterns.csv,csv,unknown,subset_best_worst_patterns,,,,,,,,,no,no,no,discard,CSV parsed but no recognized metric column was found.,high
E:\Deskbook\Tea\tables\subset_severity_summary.csv,csv,missing_strength,subset_severity_summary,,,,,,,,,yes,no,no,main_table,CSV parsed but no recognized metric column was found.,high
E:\Deskbook\Tea\supplement\core_claim_diagnostics\body_latent_claim_evidence.csv,csv,unknown,body_latent_claim_evidence,,,,,,,,,no,no,no,discard,CSV parsed but no recognized metric column was found.,high
E:\Deskbook\Tea\supplement\core_claim_diagnostics\core_claim_diagnostics_report.md,md,unknown,core_claim_diagnostics_report,,,,,,,,,no,no,no,discard,Text/log parsed but no recognized metric pattern was found.,medium
E:\Deskbook\Tea\supplement\core_claim_diagnostics\fsg_positioning_evidence.csv,csv,unknown,fsg_positioning_evidence,,,,,,,,,no,no,no,discard,CSV parsed but no recognized metric column was found.,high
E:\Deskbook\Tea\supplement\core_claim_diagnostics\privacy_exposure_qualitative_table.csv,csv,privacy_probe,privacy_exposure_qualitative_table,,,,,,,,,yes,no,no,main_table,CSV parsed but no recognized metric column was found.,high
E:\Deskbook\Tea\supplement\core_claim_diagnostics\privacy_exposure_risk_scores.csv,csv,privacy_probe,privacy_exposure_risk_scores,,,,,,,,,yes,no,no,main_table,CSV parsed but no recognized metric column was found.,high
E:\Deskbook\Tea\supplement\core_claim_diagnostics\reviewer_concern_response_matrix.csv,csv,unknown,reviewer_concern_response_matrix,,,,,,,,,no,no,no,discard,CSV parsed but no recognized metric column was found.,high
E:\Deskbook\Tea\supplement\vk_semantic_anchor_analysis\vk_anchor_key_numbers.csv,csv,unknown,vk_anchor_key_numbers,,,,,,,,,no,no,no,discard,CSV parsed but no recognized metric column was found.,high
E:\Deskbook\Tea\supplement\vk_semantic_anchor_analysis\vk_semantic_anchor_conclusion.md,md,unknown,vk_semantic_anchor_conclusion,,,,mpjpe,45.05,lower_better,,,no,no,no,discard,Metric extracted from text/log pattern.,medium
E:\Deskbook\Tea\supplement\vk_semantic_anchor_analysis\vk_semantic_anchor_conclusion.md,md,unknown,vk_semantic_anchor_conclusion,,,,accuracy,99.75,higher_better,,,no,no,no,discard,Metric extracted from text/log pattern.,medium
E:\Deskbook\Tea\supplement\vk_semantic_anchor_analysis\vk_semantic_anchor_interpretation.csv,csv,unknown,vk_semantic_anchor_interpretation,,,,,,,,,no,no,no,discard,CSV parsed but no recognized metric column was found.,high
E:\Deskbook\Tea\Super-Teacher\outputs\eval\super_hpe_student_random_vk_all_combinations.csv,csv,superteacher,Super-HPE-Student,vk,,random,mse,0.004065623185552937,lower_better,,,yes,no,yes,discussion,Exploratory only; not part of the main contribution.,high
E:\Deskbook\Tea\Super-Teacher\outputs\eval\super_hpe_student_random_vk_all_combinations.csv,csv,superteacher,Super-HPE-Student,vk,,random,mpjpe,0.08878165498665777,lower_better,,,yes,no,yes,discussion,Exploratory only; not part of the main contribution.,high
E:\Deskbook\Tea\Super-Teacher\outputs\eval\super_hpe_student_random_vk_all_combinations.csv,csv,superteacher,Super-HPE-Student,vk,,random,pa_mpjpe,0.042310604960233866,lower_better,,,yes,no,yes,discussion,Exploratory only; not part of the main contribution.,high
E:\Deskbook\Tea\Super-Teacher\outputs\eval\super_hpe_student_random_vk_all_combinations.csv,csv,superteacher,Super-HPE-Student,depth,,random,mse,0.0022496325654316938,lower_better,,,yes,no,yes,discussion,Exploratory only; not part of the main contribution.,high
E:\Deskbook\Tea\Super-Teacher\outputs\eval\super_hpe_student_random_vk_all_combinations.csv,csv,superteacher,Super-HPE-Student,depth,,random,mpjpe,0.06645657104946517,lower_better,,,yes,no,yes,discussion,Exploratory only; not part of the main contribution.,high
E:\Deskbook\Tea\Super-Teacher\outputs\eval\super_hpe_student_random_vk_all_combinations.csv,csv,superteacher,Super-HPE-Student,depth,,random,pa_mpjpe,0.03222367801064361,lower_better,,,yes,no,yes,discussion,Exploratory only; not part of the main contribution.,high
