protocol,scene,subject,action,idx,rgb_vk_path,mmwave_vk_path,mse,mae,mean_joint_error,max_joint_error,nme,pck05,pck10,bbox_diag
cross_subject,E01,S01,A06,255,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame256.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame256.npy,338.91696167,15.12649536,24.37974548,53.99035645,0.07995835,0.11764706,0.88235294,304.90557861
cross_subject,E01,S01,A06,260,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame261.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame261.npy,295.96374512,12.94060612,20.98830986,64.45307159,0.06903885,0.23529412,0.88235294,304.00723267
cross_subject,E01,S01,A06,265,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame266.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame266.npy,168.90856934,10.38781834,16.14353180,35.22727203,0.05351090,0.64705882,0.94117647,301.68676758
cross_subject,E01,S01,A06,270,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame271.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame271.npy,462.87619019,16.37722206,26.33087921,59.71692657,0.08772497,0.11764706,0.76470588,300.15261841
cross_subject,E01,S01,A06,275,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame276.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame276.npy,379.86569214,15.24278164,24.82744408,59.44533157,0.08167405,0.17647059,0.70588235,303.98202515
cross_subject,E01,S01,A06,280,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame281.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame281.npy,458.75866699,17.24915695,27.96183968,68.18196869,0.09246804,0.05882353,0.70588235,302.39465332
cross_subject,E01,S01,A06,285,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame286.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame286.npy,287.96298218,13.73534393,22.48603249,49.81950760,0.07441010,0.11764706,0.88235294,302.19058228
cross_subject,E01,S01,A06,290,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame291.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame291.npy,224.72703552,11.55711555,18.84243393,37.24066544,0.06280478,0.52941176,0.76470588,300.01593018
cross_subject,E01,S01,A06,295,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame296.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame296.npy,441.98892212,16.90644836,26.51106834,58.52388000,0.08993315,0.00000000,0.76470588,294.78637695
cross_subject,E01,S01,A07,3,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A07/rgb/frame004.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A07/frame004.npy,370.05255127,9.35446644,15.14453888,80.77297974,0.04284719,0.76470588,0.88235294,353.45465088
cross_subject,E01,S01,A07,8,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A07/rgb/frame009.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A07/frame009.npy,289.90759277,8.86556149,16.06356812,82.70804596,0.04833448,0.76470588,0.94117647,332.34176636
cross_subject,E01,S01,A07,13,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A07/rgb/frame014.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A07/frame014.npy,317.04394531,12.13740540,20.41828537,67.23448181,0.05892628,0.47058824,0.88235294,346.50558472
cross_subject,E01,S01,A07,18,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A07/rgb/frame019.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A07/frame019.npy,361.91027832,15.64310551,25.45703506,52.98205566,0.07456645,0.05882353,0.88235294,341.40066528
cross_subject,E01,S01,A07,23,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A07/rgb/frame024.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A07/frame024.npy,405.38391113,12.81627941,22.32080078,85.89448547,0.06804504,0.47058824,0.88235294,328.02981567
cross_subject,E01,S01,A07,28,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A07/rgb/frame029.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A07/frame029.npy,402.85049438,14.95113373,25.84564400,63.40993118,0.07268236,0.23529412,0.88235294,355.59719849
cross_subject,E01,S01,A07,33,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A07/rgb/frame034.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A07/frame034.npy,590.32641602,16.66967773,28.99099731,80.60263824,0.08744538,0.11764706,0.82352941,331.53265381
